location text user_id weibo_created_at 
[39.67844, 116.109924] 也许生活就像一本掉了页的黄历，没有人会把它粘好并一页一页的回忆。 Fri Oct 11 22:08:28 2013 
[39.729572, 116.14265] 表示最近两年诺贝尔文学奖的得主的作品没有一个爱看的。莫言的《生死疲劳》和《蛙》在书店看过一遍就没再看第二遍。那些跟风买书却不看还在叫嚣的人，你们够了。艾丽丝门罗？？呵呵。敢问今天她获奖消息爆出前那些表示喜欢她祝贺她的人究竟有几个读过她的书？ Fri Oct 11 09:25:30 2013 
[39.729568, 116.169434] 目测周六周日有做不完的事儿，打疫苗，运动会排练，京工演讲团初试，各种作业，第二次专业大会。加油！ Sat Oct 12 00:00:41 2013 
[39.7215156555, 116.166679382] 我好想你们。在这边各种挫败感。 Fri Oct 11 23:52:11 2013 
[39.717874, 116.265971] 蔡暘说:我穿越四季，只为你融化，谢谢你，敢与我相爱。 Fri Oct 11 17:20:19 2013 
[39.719478, 116.27524525] 我们都肆无忌惮的在挥霍青春 岁月在我们脸庞刻下的一刀一划 我们却浑然不知 Fri Oct 11 23:49:58 2013 
[39.718039, 116.439822] 别丧气，总会有一件好运的事儿发生在你身上，接着就是一百件扫兴的事儿。 Fri Oct 11 22:15:04 2013 
[39.726254, 116.480263] 还不错哦，果然很棒！ Fri Oct 11 22:53:46 2013 
[39.72142, 116.535238] 我躺在床上玩手机，你们在干嘛？睡不着好无聊 Fri Oct 11 23:47:38 2013 
[39.723663330078, 116.70613861084] 来听听我唱的《祝你一路顺风》,击败了全国77%的人. 试听地址 >> (通过 录制) Fri Oct 11 23:51:34 2013 
[39.719686, 116.74494] “无心插柳柳成阴”这种事只有在电视剧上才会出现吧,谁能不努力就成功???有嘛??? Fri Oct 11 09:17:01 2013 
[39.736884, 116.100422] 我用一天一夜的时间把想法变成一个决定，如果时间不够，今夜无眠，继续巩固这个决定！重生亦或堕落 Fri Oct 11 23:20:14 2013 
[39.729572, 116.14265] 真正的需要就是想，当你想就代表你需要，尽量满足自己想的，也就不再那么需要。 Fri Oct 11 18:12:27 2013 
[39.726212, 116.127632] 大喜大悲看清自己，大起大落看清朋友。没有一个足够宽容的心，就看不到一个春光明媚的世界。 Fri Oct 11 14:38:32 2013 
[39.729572, 116.142647] 原来真有传说中的＂十全大补丸＂呀！ Fri Oct 11 10:52:33 2013 
[39.735694, 116.147377] 你是我眼里心间一颗明亮的星，我只是喜欢看你，黑漆漆的幕布上，你独自闪耀，或是陪云朵周游，在银河的哪一边，对我来说都是一样的。 Fri Oct 11 21:09:51 2013 
[39.729572, 116.142647] 今天陪孩子去医院打针，孩子不愿意拗不过我还是跟着去了。 打针的时候熊孩子害怕各种哀求我无果。 护士要动手的时候那个闹 阿姨你慢点，阿姨你好漂亮， 哎呦，阿姨我CNM........... Fri Oct 11 18:03:25 2013 
[39.729572, 116.14265] 这是一个关于东东的故事 Fri Oct 11 13:50:49 2013 
[39.729572, 116.14265] 昨天打无名，第一次p3的时候mt突然倒了……之后分析原因，看乘伤记录，发现总共无名打了7下，四下普通攻击平均5w，然后会心一击18w直接秒了……mt无比诧异的同时，指挥说还行你还格挡了两下…顿时大家都感叹，天策真是战士啊…战士啊…】、具体数据大概就是这样… Fri Oct 11 09:53:41 2013 
[39.723022, 116.160041] 明天运动会～～～我这从小没有运动细胞的居然也要参加～～～ Fri Oct 11 23:06:50 2013 
[39.728712, 116.166204] 塔读ID:td33487852，我爱古言，我在塔读看小说 Fri Oct 11 08:22:46 2013 
[39.735826, 116.17688] 慢慢觉得，并且坚定，未来的路并不是毕业了找工作这么简单…… Fri Oct 11 23:19:27 2013 
[39.73476, 116.188278] 哇，百度里面说你结的果实叫火龙果！！！火龙果！！！老公狂笑：老子500块买了一盆火龙果！！！ Fri Oct 11 22:08:59 2013 
[39.729527, 116.31571] 别怕烦，别怕难。调整心态，好好学习。。。 Fri Oct 11 22:56:42 2013 
[39.724705, 116.333229] 有的时候想到你，所有的烦心事全部没有了。心情永远平静。 Fri Oct 11 23:56:42 2013 
[39.73082, 116.3338] 这年头去医院看病真叫人抓狂，排队能排死！ Fri Oct 11 11:17:35 2013 
[39.725052649, 116.34161597] 地址给我 我给你们寄个明信片 Fri Oct 11 10:05:54 2013 
[39.731838, 116.348778] 中国的传统音乐真心不错 他们合奏的更不错 让我想起来大学那会儿我们一块儿合奏 必须用心去听每个人弹 稍微有点不注意整个儿节奏都错拍 真心希望中国的传统乐器音乐一直流传下来 其实每个人静下心来去听 音乐很美 Fri Oct 11 23:50:31 2013 
[39.731239, 116.371506] 看到别人的腿也被咬成我这样！为什么会有一点点开心呢？？？ Fri Oct 11 22:58:36 2013 
[39.727845, 116.40774] 今天大兴空气质量指数为102, 轻度污染。儿童、老人及心脏、呼吸系统疾病患者人群应该减少长时间、高强度的户外锻炼。 2013-10-11 13:00发布。 Fri Oct 11 14:43:36 2013 
[39.726633, 116.450678] 小米的微信手机交流居然是这样，我想要的回答，失望。下次去买vivo的，人家的服务就是赞。 Fri Oct 11 12:38:26 2013 
[39.723335, 116.464783] 感情里，总会有分分合合；生命里，总会有来来去去。学会：浅喜欢，静静爱，深深思索，淡淡释怀。 Fri Oct 11 07:51:34 2013 
[39.739093, 116.537145] 说句不好听的:魔术之乡历来都是这么奇葩！ Fri Oct 11 17:56:19 2013 
[39.735179, 116.703987] 同学都尼玛领证了，我不想被剩下，可对象在哪里。。。。。。 Fri Oct 11 12:37:49 2013 
[39.745924, 116.085152] 把一个孩子的模仿说成抄袭，把一个妻子的评论说成默认！国人最擅长的是：向权贵哈腰，向弱者举刀。强强颜色再亮，也画不出成人内心的阴暗，强强画笔再灵活，也勾不出成人肮脏的嘴脸。对子骂父，人所不齿，对妻骂夫，太监所为. (本微博转) Fri Oct 11 22:25:58 2013 
[39.73487, 116.11429] 徐永老师，你这翘臀~ Fri Oct 11 23:13:23 2013 
[39.747631, 116.150299] 超给力的真狐狸围脖又开始热卖啦。灰色深灰色两种。都是用真狐狸皮毛做成，只有眼珠是假的。快来下手吧。戴上真的美呆了！特加¥280。一条。快下手吧！！！一手货源！微信：1534340824！ Fri Oct 11 22:57:44 2013 
[39.739012, 116.170641] 一旦认定就真心实意对他好，死心塌地无怨无悔，可以为了他欺骗爸妈，独自坐很久车去找他，也更认真规划未来，就连说起他一大堆你不满意的地方都是笑着。可是也会失望有委屈，偏偏又是忍着不说不撒娇不闹脾气的女子，怪谁呢。愿我们都好与闺蜜共勉 Fri Oct 11 23:33:51 2013 
[39.746544, 116.313202] 这是第二次了，麻烦您老赶紧给我找一个吧，年龄20，身高158，现在北京上班，求月老给我介绍一个长相白净，单眼皮的男生， 主要是有责任心就好。 Fri Oct 11 23:25:31 2013 
[39.748375, 116.321876] 闺蜜在澳大利亚三年了，想一起代购当地的ugg，保健品，绵羊油，那里的保健品很便宜，而且ugg等都是正品，不知道有木有人喜欢这些？或者，大家喜欢什么可以说说 Fri Oct 11 23:59:05 2013 
[39.744887, 116.320872] 越有故事的人越沉静简单，越肤浅单薄的人越浮躁不安。真正的强者，不是没有眼泪的人，而是含着眼泪依然奔跑的人。我们要敢于背上超出自己预料的包袱，努力之后，你会发现自己要比想象的优秀很多。—— 浅月《无惧人生》 Fri Oct 11 09:38:18 2013 
[39.748001629, 116.3265523] 这是学校搞的最大的一次晚会了吧？太霸气了～终于在体育馆办了 Fri Oct 11 19:25:59 2013 
[39.743553, 116.332359] 最近消化系统特别好，总觉着饿给点儿吃的吧一样来点 Fri Oct 11 18:00:14 2013 
[39.738855, 116.337834] 如果你要引人注目，就要使得自己成为一棵树，傲立于大地之间；而不是做一颗草，你见过谁踩了一棵草，还抱歉地对草说：对不起？ Fri Oct 11 23:20:40 2013 
[39.743385, 116.346992] other ability can also make success，most people do Fri Oct 11 23:06:18 2013 
[39.73759, 116.35702] 明天还得上班呢，都记得开闹铃！！！ Fri Oct 11 22:44:20 2013 
[39.746479, 116.445862] 梦见谢霆锋和王菲同居了！你俩快点在一起吧！内什么！太操心了 Fri Oct 11 11:02:56 2013 
[39.740173, 116.542839] 今天第一次面试有点小紧张，想继续下去，又不想，有点矛盾。 Fri Oct 11 23:10:54 2013 
[39.74824142, 116.56774902] 我在这里：拿自己的热脸贴对方的冷屁股，还总认为自己还做得不够好... 在自己眼里，这是爱； 在对方眼里，这是烦； 在别人眼里，这是贱。。 Fri Oct 11 00:39:53 2013 
[39.749393, 116.57222] 2013-10-11 06:06 10月11日5时50分，从江都到高邮八桥由上海往北京方向，由于雾，禁止车辆驶入高速。 Fri Oct 11 06:06:49 2013 
[39.747913, 116.646766] 梦是什么？梦，不能做得太深，深了，难以清醒；话，不能说得太满，满了，难以相通；长大了，懂事了，心却不得不复杂起来了。历经曲折，尝尽百苦之后，还是觉得淡然最好，简单最快乐。人生之事，计较越多，烦恼越多，淡然，才是一种彻悟解脱。 Fri Oct 11 10:30:05 2013 
[39.745747, 116.659546] 人类对未知世界的探索就像一段旅程吧。有人擅长走平路，有人擅长爬陡坡，有人能借助好的工具、以前所未有的速度前行。好像大家关注的核心是谁能走的更快，走的更远。而如果以宇宙终极的奥义为目标前行，就会发现现在的目标是多么渺小。 Fri Oct 11 08:29:51 2013 
[39.744656, 116.67495] 找不到一个拥抱的理由〜 娜姐，其实李泰唱歌挺好听的哈 Fri Oct 11 21:36:01 2013 
[39.747714, 116.099899] 宾馆退房，服务员来查房，发现窗帘上有三个洞，于是要求一个洞赔50元。这哥们问：“确定一个洞50元吗？”服务员点点头。只见这个2货拿起烟头把窗帘上的三个小洞烫成了一个大洞，然后给了服务员50块，说“能省一百就省一百吧”。 Fri Oct 11 19:42:18 2013 
[39.746, 116.13014] 有人说把第一次给最爱的人。有几个人做到了！都是一时的疯狂，其实现在的人都随随便便。。。。有几个是处女。。。现在有多少个是处男！！！！ Fri Oct 11 23:27:35 2013 
[39.7485015897, 116.143176827] 哎呦喂！舒服死鸟。老公刚刚给我浑身做了按摩，太舒服了，浑身热热的。不过，通过按摩我觉得我的后颈和腰肯定有严重的问题，按的时候我疼的死去活来的。人不大，估计毛病不少，锻炼吧！加油！不过谢谢老公，么么！ Fri Oct 11 23:29:44 2013 
[39.750778, 116.18251] 有话一定要跟我直说，否则我连你在跟我打哑迷都不知道。后知后觉后劲不小。 Fri Oct 11 23:59:42 2013 
[39.753429, 116.209037] 祝哥哥新婚快乐 Fri Oct 11 16:43:49 2013 
[39.750511169434, 116.25954437256] 来听听我唱的《最炫民族风》,击败了全国12%的人. 试听地址 >> (通过 录制) Fri Oct 11 21:27:24 2013 
[39.758373, 116.311965] 太好看了，宿舍人都爱看。 Fri Oct 11 23:58:48 2013 
[39.75364, 116.32114] 就是突然觉得自己好可怜、什么时候有个男朋友就好了、有人关心我吃没吃，渴不渴，怕不怕、闷不闷、累不累、难过还是快乐，我好想要个男朋友啊！ Fri Oct 11 19:44:31 2013 
[39.748001629, 116.3265523] 谢谢612全体，谢谢各位陪伴我到现在 Fri Oct 11 21:04:02 2013 
[39.744887, 116.320872] 生活中我们不能太聪明了，看谁都有毛病，看谁都是妖精，却看不见自己长着一身毛，看得太清，看得太真，给自己的生活带来不必要的麻烦和困惑，其实，我们有时候犯点啥，装点糊涂会让生活更轻松，更快乐，有句俗话说的好，做个悲伤的智者，不如做个开心的傻子。 Fri Oct 11 09:35:17 2013 
[39.757857, 116.335836] 找了好几天了！哪里有黑枣呐？说誰知道啊？我好着急。黑枣，黑枣哪里有？ Fri Oct 11 11:10:52 2013 
[39.748413, 116.359342] 半年多了，再一次面对生与死，你心里忆起的还是她？别傻了。。 Nevermind, I'll find someone like you. I wish nothing but the best, for you too. 有时候爱情能永远，但有时又如此伤人。。 Fri Oct 11 22:04:42 2013 
[39.75257, 116.5567] 今晚要不要通宵……已经威猛的把时间缩成一半了！什么都不顾了！]赶快完成作业。。 Fri Oct 11 23:57:48 2013 
[39.75257, 116.5567] 一个人泡脚的时候特别怀念大家一起泡脚的日子 Fri Oct 11 20:24:26 2013 
[39.75257, 116.5567] 世间有许多美好的东西，但真正属于自己的却并不多。在这个纷绕的世俗世界里，能够学会用一颗平常的心去对待周围的一切，也是一种境界。 Fri Oct 11 08:00:03 2013 
[39.7515407366, 116.569654286] 我在马驹桥。就为了一个破证折腾了我们好几天…要这个要那个…太事了 Fri Oct 11 14:23:04 2013 
[39.766754150391, 116.10871887207] 来听听我唱的《剪爱 小鑫》,击败了全国0%的人. 试听地址 >> (通过 录制) Fri Oct 11 20:52:51 2013 
[39.753037, 116.135748] 人呀不能太把自己当回事了，伸手还特么不打笑脸人呢，我把你当回事的时候你就是个人，你要等我不把你当回事的时候，你连狗逼都不是。 Fri Oct 11 23:24:34 2013 
[39.76468030303, 116.15187909091] 花花我们想你！好想好想 Fri Oct 11 23:00:29 2013 
[39.764278813, 116.171789343] 我在金侨国际公寓酒店。一分钟后就是你大喜的日子。祝福你我亲爱的！ Sat Oct 12 00:00:19 2013 
[39.764411, 116.201988] 呀呀！！！今天646公交的师傅好好啊，到地铁站的时候把车停在那等要坐车的人，让一下没多少人的车瞬间爆满啊？ Fri Oct 11 18:43:35 2013 
[39.76429, 116.21569] 所有的孩子都是那么的天真 那么可爱 那么的纯洁。一秒在哭 下一秒就可以笑 。其实人生真的是这样简单。 Sat Oct 12 00:00:51 2013 
[39.76429, 116.21569] 一开始想养只金毛因为觉得它温顺，然后发现它和谁都温顺不只是它的主人甚至它对陌生人都温顺，现在想养只藏獒，因为它除了对它的主人温顺之外不对其他人温顺。 Fri Oct 11 14:48:51 2013 
[39.76429, 116.215691] 【“走出剧院”公益活动】还记得五月音乐节系列公益活动吗？金秋十月活动继续！14：30，首场公益活动将在房山万科长阳半岛社区举行。主题：打击乐。朱宗庆打击乐团资深团员兼教学老师徐启浩将向您展示打击乐的独特魅力。 Fri Oct 11 14:29:16 2013 
[39.756913, 116.26471] henry生日快乐。 Fri Oct 11 05:44:21 2013 
[39.759895, 116.275993] 老北京的小吃今天吃到了就是炒肝和豆汁接受不了 Fri Oct 11 20:26:17 2013 
[39.75943, 116.305925] 困的要死啊。什么时候才能作息正常啊。我不想要黑眼袋。 Fri Oct 11 07:58:20 2013 
[39.757146, 116.305904] 辩论会决赛得了个亚军，我成了最佳辩手，但心里一点都不开心。 Fri Oct 11 15:27:59 2013 
[39.763195, 116.305072] 祝欢欢屎 明考试成功超过6.5！！！非常走心哦呆B敬上 Fri Oct 11 15:41:32 2013 
[39.759529, 116.31678] 只有他们是最活力的，我发现我有皱纹了！ Fri Oct 11 15:53:01 2013 
[39.758191, 116.337759] 我在乐食派麻辣香锅(大兴华堂店)(签到1次)：好久没来大兴华堂了，学完车解决午饭 Fri Oct 11 13:20:15 2013 
[39.762085, 116.352974] 我要好好画了。 Fri Oct 11 08:35:35 2013 
[39.76428, 116.37107] 把过去的缺点，失误，错误，化悲痛为力量，为当下所用，如果不能为当下所用，过去所有稀生就是苍白的 Fri Oct 11 19:29:42 2013 
[39.764325, 116.365799] 心里被一大堆事儿占着，真郁闷郁闷郁闷。 Fri Oct 11 07:43:20 2013 
[39.765747, 116.371725] 记得本科的时候跟一个妹子吹牛逼说我是blue控，衬衫控。然后现在每天必须得穿制服，蓝色，衬衫…这就是最大的报复。 Fri Oct 11 18:11:50 2013 
[39.765079498291, 116.38131713867] 果断上传，啦啦啦，老公，我爱你 试听地址 >> (通过 录制) Fri Oct 11 23:28:23 2013 
[39.768665, 116.422096] 鸣人 Fri Oct 11 11:58:26 2013 
[39.7654162691, 116.453226089] 刚刚看完“爸爸去哪儿”觉得超赞，或许是自己也是为人母的原因吧！喜欢，期待更好！ Fri Oct 11 23:52:55 2013 
[39.762046813965, 116.48606872559] 来听听我唱的《矜持》,击败了全国19%的人. 试听地址 >> (通过 录制) Fri Oct 11 13:39:11 2013 
[39.755881, 116.547244] 天冷了，该添衣服了。周五,晴,23℃/12℃,微风;周六,多云转阴,22℃/15℃,微风;周日,阴转小雨,19℃/13℃,微风转北风3-4级. Fri Oct 11 22:36:00 2013 
[39.75807, 116.55605] 我订做的海报手机壳都收到了 好喜欢哦～ 特别感谢贰花花姐帮我做的海报还送我明信片和钱包卡 Fri Oct 11 19:30:01 2013 
[39.762184, 116.666976] 十月十二号是第三战了，我不求考的太高，只希望能考个五分或者五点五，虽然第一次拜雅思哥，但希望雅思哥能带给我好运 Fri Oct 11 18:37:30 2013 
[39.764157, 116.69438] 请大家多多支持！没事闲来逛逛都是好的 在此谢过！ Fri Oct 11 22:01:06 2013 
[39.767571, 116.156801] 不知道这次减肥会不会成功，祈祷 Fri Oct 11 23:24:28 2013 
[39.766119, 116.159943] 花花火星人爱你！永远！你开心火星人就开心！ Fri Oct 11 23:33:38 2013 
[39.76429, 116.21569] 大家一定不要小看臭虫把我胳膊咬的变成大腿了奇痒无比生不如死我们一起铲除它 Fri Oct 11 12:37:21 2013 
[39.769653, 116.21617] 宿舍集体订购的人手一套睫毛膏+眼线液～～好多猫猫眼啊～～ Fri Oct 11 14:33:50 2013 
[39.770175, 116.272972] 隔壁大姐跟我妈差不多大，跟她儿子打电话说我是阿姨，她儿子16周岁，我22……这怎么就成阿姨了！！！！！！ Fri Oct 11 21:26:05 2013 
[39.773525, 116.365021] 来到K歌之王拍摄现场 金润吉 还有冠军李琪好激动 我是疯狂记者 过会儿就要问李琪一些奇葩的问题 Fri Oct 11 17:34:40 2013 
[39.775813, 116.424098] 在一起经历一些情侣的事情我就很满足啦，我其实感谢他没有带我去那些地方，因为现在你带着我去的所有地方都是我第一次去的，第一次去的地方一辈子都不会忘记，我要记住和你在一起的每一个瞬间，等到我六十岁那一年告诉你现在的我有多喜欢你！多想和你在一起！ Fri Oct 11 23:33:36 2013 
[39.776246, 116.437943] 最近手机安装了百合见见，没事可以聚聚会、见见面，这样的美好生活你们也可以拥有哟！下载地址： Fri Oct 11 23:51:42 2013 
[39.778297, 116.481056] 突然好烦躁！知道的越多越不开心！让我继续做一个无知的二逼吧！有的时候人就是要装糊涂！ Fri Oct 11 20:47:21 2013 
[39.7700508443, 116.513931513] 雪前仇, 李二爷力逮雌雄大盗。 报旧恨, 毛大帅推倒男女英雄。 Fri Oct 11 20:21:21 2013 
[39.77005, 116.513931] 早上七点、或许你们都还在被窝、我就已经在单位了。楼下的树叶都黄了、我在DHL也即将工作三个月了。再明媚的阳光也无能为力把灰色照亮。不得不说、真的好累、一天能说一周的话。同组工作了三年的姐姐辞职了、不知道我能坚持多久。 Fri Oct 11 07:19:48 2013 
[39.7700508443, 116.513931513] Fri Oct 11 18:19:50 2013 
[39.765296, 116.688148] 车站等儿子、虽然很冷、除了焦虑依然觉得开心、天下父母心！ Fri Oct 11 18:47:52 2013 
[39.78968, 116.082275] 正在进行ing，在风光秀丽的青龙湖畔，智鼎人分享Q2季度的硕果，总结经验与不足，以始为终。千里之行，始于目标！ Fri Oct 11 10:56:02 2013 
[39.774612, 116.151375] 各位嫂子看看可以体会下管用否 Fri Oct 11 20:03:01 2013 
[39.782627, 116.175918] 今天的工作做的我想打人，没耐性，TNND，我靠，，，放松放松，下班大晚上的找我谈工作，更郁闷。。。 Fri Oct 11 21:02:53 2013 
[39.784042, 116.196609] 本人淘宝网店刚刚开业，全场话费充值降价促销，欢迎广大淘友前来购买，本店已加入淘宝消费者保障并提交保证金，请放心购买，谢谢！店铺地址： Fri Oct 11 09:20:19 2013 
[39.78408, 116.263979] 男人之美在于度；女人之美在于韵；孩子之美在于真；老人之美在于醇；夫妻之美在于爱；爱情之美在于容；家庭之美在于和；生活之美在于品，朋友之美在于诚；学习之美在于悟；工作之美在于乐；社会之美在于公；做人的之美在于舍；修炼之美在于空；人性之美在于善。 Fri Oct 11 08:55:55 2013 
[39.787268, 116.277968] 这个因为体检不能回家的周五 好漫长 我和我的小伙伴在宿舍 先是看<<痛症>>哭得稀里哗啦 然后开始抖骚自拍 现在准备睡觉 明天测身高体重是硬伤 goodnight Fri Oct 11 23:42:24 2013 
[39.785904, 116.283997] 我一直在思考一个问题。当人行横道是红灯，但是放眼望去一辆车也没有的时候，我是应该过马路还是不过呢。（。。。） Fri Oct 11 10:49:20 2013 
[39.78495, 116.302305] 可儿，妈妈生病了，终于可以狠下心给你断奶了，你要坚强，不要哭，妈妈始终是最爱你的妈妈…… Fri Oct 11 22:59:12 2013 
